Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,79763,200.0,1746,,,,,,
244.0,4.8989797,250.0,240.0,2266.0,80000,,,7.3473310470581055,28.50132942199707,29.305376052856445,407.70953369140625,0.87625,9.583322916666667e-05
,,,,,80255,270.0,1986,,,,,,
,,,,,80759,280.0,2026,,,,,,
,,,,,81000,,,9.864768981933594,19.11775779724121,19.895435333251953,409.3550109863281,0.8741875,9.57290625e-05
,,,,,81282,210.0,2090,,,,,,
,,,,,81718,210.0,1754,,,,,,
,,,,,82000,,,8.147994041442871,26.564407348632812,26.323192596435547,249.76699829101562,0.872125,9.562489583333334e-05
,,,,,82188,210.0,1882,,,,,,
,,,,,82647,230.0,1850,,,,,,
,,,,,83000,,,8.286270141601562,23.724201202392578,24.079259872436523,168.59280395507812,0.8700625,9.552072916666667e-05
,,,,,83138,200.0,1994,,,,,,
,,,,,83500,200.0,1466,,,,,,
,,,,,84000,,,4.6302900314331055,21.094501495361328,20.67777442932129,163.52967834472656,0.868,9.541656250000001e-05
,,,,,84016,280.0,2090,,,,,,
,,,,,84473,170.0,1834,,,,,,
,,,,,84889,160.0,1674,,,,,,
,,,,,85000,,,1.7619178295135498,24.939706802368164,24.962207794189453,97.91923522949219,0.8659375,9.531239583333334e-05
,,,,,85374,300.0,1954,,,,,,
,,,,,85706,100.0,1338,,,,,,
,,,,,86000,,,2.973851203918457,23.170543670654297,23.450321197509766,147.5352783203125,0.863875,9.520822916666667e-05
,,,,,86196,230.0,1962,,,,,,
,,,,,86658,230.0,1866,,,,,,
,,,,,87000,,,127.1948013305664,20.436115264892578,23.291107177734375,701.3468627929688,0.8618125,9.51040625e-05
,,,,,87145,210.0,1978,,,,,,
,,,,,87457,90.0,1274,,,,,,
,,,,,87912,200.0,1842,,,,,,
,,,,,88000,,,5.148885250091553,22.166669845581055,22.20374298095703,156.34915161132812,0.85975,9.499989583333334e-05
,,,,,88411,230.0,2010,,,,,,
,,,,,89000,,,4.654818534851074,21.76297950744629,21.7058162689209,123.38501739501953,0.8576875,9.489572916666667e-05
,,,,,89073,360.0,2658,,,,,,
,,,,,89512,160.0,1762,,,,,,
,,,,,89933,160.0,1706,,,,,,
577.0,86.95401,670.0,420.0,2292.4,90000,,,12.462087631225586,27.762969970703125,27.018049240112305,388.0633850097656,0.855625,9.479156250000001e-05
,,,,,90439,300.0,2026,,,,,,
,,,,,90933,270.0,1978,,,,,,
,,,,,91000,,,8.579540252685547,25.808021545410156,25.33451271057129,232.3599395751953,0.8535625,9.468739583333334e-05
,,,,,91375,250.0,1778,,,,,,
,,,,,91833,250.0,1858,,,,,,
,,,,,92000,,,5.244235992431641,23.193870544433594,22.498519897460938,246.69430541992188,0.8515,9.458322916666668e-05
,,,,,92337,310.0,2026,,,,,,
,,,,,92773,280.0,1754,,,,,,
,,,,,93000,,,8.102900505065918,24.078880310058594,24.50156021118164,163.93515014648438,0.8494375000000001,9.447906250000001e-05
,,,,,93163,190.0,1570,,,,,,
,,,,,93568,180.0,1642,,,,,,
,,,,,94000,,,7.960176467895508,23.738983154296875,24.688335418701172,351.6217346191406,0.847375,9.437489583333334e-05
,,,,,94041,200.0,1898,,,,,,
,,,,,94406,170.0,1474,,,,,,
,,,,,94874,330.0,1874,,,,,,
,,,,,95000,,,5.835301399230957,30.163837432861328,30.58570098876953,179.9416961669922,0.8453125,9.427072916666667e-05
,,,,,95325,270.0,1810,,,,,,
,,,,,95893,150.0,2290,,,,,,
,,,,,96000,,,2.063048839569092,29.57986831665039,29.270902633666992,123.79694366455078,0.84325,9.41665625e-05
,,,,,96319,180.0,1730,,,,,,
,,,,,96824,310.0,2034,,,,,,
,,,,,97000,,,3.6887223720550537,29.084901809692383,28.774240493774414,167.55532836914062,0.8411875,9.406239583333334e-05
,,,,,97482,420.0,2650,,,,,,
,,,,,98000,330.0,2090,,,,,,
,,,,,98000,,,4.698538780212402,29.071701049804688,29.23348617553711,172.73468017578125,0.839125,9.395822916666667e-05
,,,,,98879,600.0,3522,,,,,,
,,,,,99000,,,6.689913749694824,25.249046325683594,24.713369369506836,210.35641479492188,0.8370625,9.385406250000001e-05
,,,,,99241,160.0,1466,,,,,,
,,,,,99750,290.0,2058,,,,,,
1377.0,690.6526,2260.0,310.0,2788.4,100000,,,7.674508094787598,31.719253540039062,31.639856338500977,181.4461669921875,0.835,9.374989583333334e-05
,,,,,100257,250.0,2050,,,,,,
,,,,,100647,140.0,1578,,,,,,
,,,,,101000,,,9.449270248413086,26.165571212768555,27.22576332092285,235.2140350341797,0.8329375,9.364572916666668e-05
,,,,,101143,240.0,1986,,,,,,
,,,,,101647,260.0,2026,,,,,,
,,,,,102000,,,7.265072822570801,30.886430740356445,30.357440948486328,331.2393798828125,0.830875,9.35415625e-05
,,,,,102198,390.0,2218,,,,,,
,,,,,103000,640.0,3226,,,,,,
