Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3380,7.0,7,,,,,,,,
,,,,,3384,4.0,4,,,,,,,,
,,,,,3388,4.0,4,,,,,,,,
,,,,,3391,3.0,3,,,,,,,,
,,,,,3404,13.0,13,,,,,,,,
,,,,,3407,3.0,3,,,,,,,,
,,,,,3418,11.0,11,,,,,,,,
,,,,,3422,4.0,4,,,,,,,,
,,,,,3432,10.0,10,,,,,,,,
,,,,,3440,8.0,8,,,,,,,,
,,,,,3448,8.0,8,,,,,,,,
,,,,,3461,13.0,13,,,,,,,,
,,,,,3470,9.0,9,,,,,,,,
,,,,,3478,8.0,8,,,,,,,,
,,,,,3482,4.0,4,,,,,,,,
,,,,,3487,5.0,5,,,,,,,,
,,,,,3493,6.0,6,,,,,,,,
,,,,,3504,11.0,11,,,,,,,,
,,,,,3511,7.0,7,,,,,,,,
,,,,,3516,5.0,5,,,,,,,,
,,,,,3530,14.0,14,,,,,,,,
,,,,,3534,4.0,4,,,,,,,,
,,,,,3544,10.0,10,,,,,,,,
,,,,,3548,4.0,4,,,,,,,,
,,,,,3555,7.0,7,,,,,,,,
,,,,,3565,10.0,10,,,,,,,,
,,,,,3569,4.0,4,,,,,,,,
,,,,,3579,10.0,10,,,,,,,,
,,,,,3595,16.0,16,,,,,,,,
,,,,,3598,3.0,3,,,,,,,,
,,,,,3605,7.0,7,,,,,,,,
,,,,,3612,7.0,7,,,,,,,,
,,,,,3620,8.0,8,,,,,,,,
,,,,,3624,4.0,4,,,,,,,,
,,,,,3631,7.0,7,,,,,,,,
,,,,,3640,9.0,9,,,,,,,,
,,,,,3686,46.0,46,,,,,,,,
,,,,,3696,10.0,10,,,,,,,,
,,,,,3701,5.0,5,,,,,,,,
,,,,,3711,10.0,10,,,,,,,,
,,,,,3726,15.0,15,,,,,,,,
,,,,,3736,10.0,10,,,,,,,,
,,,,,3743,7.0,7,,,,,,,,
,,,,,3767,24.0,24,,,,,,,,
,,,,,3785,18.0,18,,,,,,,,
,,,,,3790,5.0,5,,,,,,,,
,,,,,3806,16.0,16,,,,,,,,
,,,,,3821,15.0,15,,,,,,,,
,,,,,3825,4.0,4,,,,,,,,
,,,,,3831,6.0,6,,,,,,,,
,,,,,3836,5.0,5,,,,,,,,
,,,,,3841,5.0,5,,,,,,,,
,,,,,3844,3.0,3,,,,,,,,
,,,,,3850,6.0,6,,,,,,,,
,,,,,3855,5.0,5,,,,,,,,
,,,,,3858,3.0,3,,,,,,,,
,,,,,3872,14.0,14,,,,,,,,
,,,,,3887,15.0,15,,,,,,,,
,,,,,3890,3.0,3,,,,,,,,
,,,,,3895,5.0,5,,,,,,,,
,,,,,3899,4.0,4,,,,,,,,
,,,,,3914,15.0,15,,,,,,,,
,,,,,3923,9.0,9,,,,,,,,
,,,,,3928,5.0,5,,,,,,,,
,,,,,3937,9.0,9,,,,,,,,
,,,,,3945,8.0,8,,,,,,,,
,,,,,3954,9.0,9,,,,,,,,
,,,,,3959,5.0,5,,,,,,,,
,,,,,3971,12.0,12,,,,,,,,
,,,,,3987,16.0,16,,,,,,,,
,,,,,3996,9.0,9,,,,,,,,
,,,,,4001,5.0,5,,,,,,,,
,,,,,4007,6.0,6,,,,,,,,
,,,,,4012,5.0,5,,,,,,,,
,,,,,4016,4.0,4,,,,,,,,
,,,,,4022,6.0,6,,,,,,,,
,,,,,4033,11.0,11,,,,,,,,
,,,,,4042,9.0,9,,,,,,,,
,,,,,4045,3.0,3,,,,,,,,
,,,,,4061,16.0,16,,,,,,,,
,,,,,4072,11.0,11,,,,,,,,
,,,,,4078,6.0,6,,,,,,,,
,,,,,4091,13.0,13,,,,,,,,
,,,,,4094,3.0,3,,,,,,,,
,,,,,4098,4.0,4,,,,,,,,
,,,,,4111,13.0,13,,,,,,,,
,,,,,4115,4.0,4,,,,,,,,
,,,,,4123,8.0,8,,,,,,,,
,,,,,4127,4.0,4,,,,,,,,
,,,,,4133,6.0,6,,,,,,,,
,,,,,4143,10.0,10,,,,,,,,
,,,,,4146,3.0,3,,,,,,,,
,,,,,4150,4.0,4,,,,,,,,
,,,,,4154,4.0,4,,,,,,,,
,,,,,4158,4.0,4,,,,,,,,
,,,,,4163,5.0,5,,,,,,,,
,,,,,4167,4.0,4,,,,,,,,
,,,,,4174,7.0,7,,,,,,,,
,,,,,4179,5.0,5,,,,,,,,
,,,,,4187,8.0,8,,,,,,,,
,,,,,4205,18.0,18,,,,,,,,
,,,,,4214,9.0,9,,,,,,,,
,,,,,4219,5.0,5,,,,,,,,
,,,,,4234,15.0,15,,,,,,,,
,,,,,4239,5.0,5,,,,,,,,
,,,,,4245,6.0,6,,,,,,,,
,,,,,4251,6.0,6,,,,,,,,
,,,,,4259,8.0,8,,,,,,,,
,,,,,4267,8.0,8,,,,,,,,
,,,,,4280,13.0,13,,,,,,,,
,,,,,4284,4.0,4,,,,,,,,
,,,,,4287,3.0,3,,,,,,,,
,,,,,4293,6.0,6,,,,,,,,
,,,,,4307,14.0,14,,,,,,,,
,,,,,4315,8.0,8,,,,,,,,
,,,,,4324,9.0,9,,,,,,,,
,,,,,4331,7.0,7,,,,,,,,
,,,,,4337,6.0,6,,,,,,,,
,,,,,4340,3.0,3,,,,,,,,
,,,,,4364,24.0,24,,,,,,,,
,,,,,4368,4.0,4,,,,,,,,
,,,,,4371,3.0,3,,,,,,,,
,,,,,4374,3.0,3,,,,,,,,
,,,,,4378,4.0,4,,,,,,,,
