Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3876,5.0,5,,,,,,
,,,,,3887,11.0,11,,,,,,
,,,,,3890,3.0,3,,,,,,
,,,,,3895,5.0,5,,,,,,
,,,,,3899,4.0,4,,,,,,
,,,,,3914,15.0,15,,,,,,
,,,,,3923,9.0,9,,,,,,
,,,,,3928,5.0,5,,,,,,
,,,,,3937,9.0,9,,,,,,
,,,,,3945,8.0,8,,,,,,
,,,,,3954,9.0,9,,,,,,
,,,,,3959,5.0,5,,,,,,
,,,,,3971,12.0,12,,,,,,
,,,,,3986,15.0,15,,,,,,
,,,,,3992,6.0,6,,,,,,
,,,,,3996,4.0,4,,,,,,
,,,,,4001,5.0,5,,,,,,
,,,,,4007,6.0,6,,,,,,
,,,,,4012,5.0,5,,,,,,
,,,,,4016,4.0,4,,,,,,
,,,,,4021,5.0,5,,,,,,
,,,,,4034,13.0,13,,,,,,
,,,,,4042,8.0,8,,,,,,
,,,,,4045,3.0,3,,,,,,
,,,,,4060,15.0,15,,,,,,
,,,,,4066,6.0,6,,,,,,
,,,,,4074,8.0,8,,,,,,
,,,,,4081,7.0,7,,,,,,
,,,,,4085,4.0,4,,,,,,
,,,,,4089,4.0,4,,,,,,
,,,,,4095,6.0,6,,,,,,
,,,,,4099,4.0,4,,,,,,
,,,,,4116,17.0,17,,,,,,
,,,,,4121,5.0,5,,,,,,
,,,,,4132,11.0,11,,,,,,
,,,,,4136,4.0,4,,,,,,
,,,,,4147,11.0,11,,,,,,
,,,,,4152,5.0,5,,,,,,
,,,,,4161,9.0,9,,,,,,
,,,,,4170,9.0,9,,,,,,
,,,,,4175,5.0,5,,,,,,
,,,,,4181,6.0,6,,,,,,
,,,,,4184,3.0,3,,,,,,
,,,,,4188,4.0,4,,,,,,
,,,,,4203,15.0,15,,,,,,
,,,,,4220,17.0,17,,,,,,
,,,,,4230,10.0,10,,,,,,
,,,,,4235,5.0,5,,,,,,
,,,,,4242,7.0,7,,,,,,
,,,,,4246,4.0,4,,,,,,
,,,,,4251,5.0,5,,,,,,
,,,,,4259,8.0,8,,,,,,
,,,,,4267,8.0,8,,,,,,
,,,,,4280,13.0,13,,,,,,
,,,,,4284,4.0,4,,,,,,
,,,,,4287,3.0,3,,,,,,
,,,,,4293,6.0,6,,,,,,
,,,,,4307,14.0,14,,,,,,
,,,,,4315,8.0,8,,,,,,
,,,,,4324,9.0,9,,,,,,
,,,,,4331,7.0,7,,,,,,
,,,,,4336,5.0,5,,,,,,
,,,,,4339,3.0,3,,,,,,
,,,,,4358,19.0,19,,,,,,
,,,,,4364,6.0,6,,,,,,
,,,,,4368,4.0,4,,,,,,
,,,,,4372,4.0,4,,,,,,
,,,,,4376,4.0,4,,,,,,
