Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,6000,,,0.08990013599395752,4.721321105957031,4.686823844909668,0.439608633518219,0.82,0.0005
,,,,,6006,18.0,18,,,,,,
,,,,,6021,15.0,15,,,,,,
,,,,,6035,14.0,14,,,,,,
,,,,,6062,27.0,27,,,,,,
,,,,,6072,10.0,10,,,,,,
,,,,,6094,22.0,22,,,,,,
,,,,,6103,9.0,9,,,,,,
,,,,,6113,10.0,10,,,,,,
,,,,,6133,20.0,20,,,,,,
,,,,,6143,10.0,10,,,,,,
,,,,,6170,27.0,27,,,,,,
,,,,,6195,25.0,25,,,,,,
,,,,,6205,10.0,10,,,,,,
,,,,,6224,19.0,19,,,,,,
,,,,,6273,49.0,49,,,,,,
,,,,,6315,42.0,42,,,,,,
,,,,,6325,10.0,10,,,,,,
,,,,,6334,9.0,9,,,,,,
,,,,,6343,9.0,9,,,,,,
,,,,,6360,17.0,17,,,,,,
,,,,,6409,49.0,49,,,,,,
,,,,,6434,25.0,25,,,,,,
,,,,,6446,12.0,12,,,,,,
,,,,,6458,12.0,12,,,,,,
,,,,,6474,16.0,16,,,,,,
,,,,,6486,12.0,12,,,,,,
,,,,,6511,25.0,25,,,,,,
,,,,,6527,16.0,16,,,,,,
,,,,,6544,17.0,17,,,,,,
,,,,,6555,11.0,11,,,,,,
,,,,,6572,17.0,17,,,,,,
,,,,,6582,10.0,10,,,,,,
,,,,,6625,43.0,43,,,,,,
,,,,,6654,29.0,29,,,,,,
,,,,,6669,15.0,15,,,,,,
,,,,,6686,17.0,17,,,,,,
,,,,,6705,19.0,19,,,,,,
,,,,,6735,30.0,30,,,,,,
,,,,,6750,15.0,15,,,,,,
,,,,,6770,20.0,20,,,,,,
,,,,,6804,34.0,34,,,,,,
,,,,,6816,12.0,12,,,,,,
,,,,,6841,25.0,25,,,,,,
,,,,,6860,19.0,19,,,,,,
,,,,,6875,15.0,15,,,,,,
,,,,,6886,11.0,11,,,,,,
,,,,,6899,13.0,13,,,,,,
,,,,,6909,10.0,10,,,,,,
,,,,,6924,15.0,15,,,,,,
,,,,,6951,27.0,27,,,,,,
,,,,,6975,24.0,24,,,,,,
,,,,,6989,14.0,14,,,,,,
,,,,,7000,,,0.08069664239883423,5.586062431335449,5.5800652503967285,0.28817814588546753,0.79,0.0005
,,,,,7024,35.0,35,,,,,,
,,,,,7040,16.0,16,,,,,,
,,,,,7056,16.0,16,,,,,,
,,,,,7065,9.0,9,,,,,,
,,,,,7092,27.0,27,,,,,,
,,,,,7102,10.0,10,,,,,,
,,,,,7119,17.0,17,,,,,,
,,,,,7144,25.0,25,,,,,,
,,,,,7167,23.0,23,,,,,,
,,,,,7190,23.0,23,,,,,,
,,,,,7215,25.0,25,,,,,,
,,,,,7229,14.0,14,,,,,,
,,,,,7241,12.0,12,,,,,,
,,,,,7254,13.0,13,,,,,,
,,,,,7274,20.0,20,,,,,,
,,,,,7289,15.0,15,,,,,,
,,,,,7307,18.0,18,,,,,,
,,,,,7337,30.0,30,,,,,,
,,,,,7362,25.0,25,,,,,,
,,,,,7377,15.0,15,,,,,,
,,,,,7415,38.0,38,,,,,,
,,,,,7429,14.0,14,,,,,,
,,,,,7441,12.0,12,,,,,,
,,,,,7454,13.0,13,,,,,,
202.9,25.916983,265.0,162.0,202.9,7500,,,0.025325927883386612,6.53386116027832,6.538430213928223,0.19598627090454102,0.775,0.0005
,,,,,7523,69.0,69,,,,,,
