Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,3599,7.0,7,,,,,,,,,,
,,,,,3607,8.0,8,,,,,,,,,,
,,,,,3611,4.0,4,,,,,,,,,,
,,,,,3618,7.0,7,,,,,,,,,,
,,,,,3628,10.0,10,,,,,,,,,,
,,,,,3635,7.0,7,,,,,,,,,,
,,,,,3643,8.0,8,,,,,,,,,,
,,,,,3648,5.0,5,,,,,,,,,,
,,,,,3663,15.0,15,,,,,,,,,,
,,,,,3669,6.0,6,,,,,,,,,,
,,,,,3678,9.0,9,,,,,,,,,,
,,,,,3685,7.0,7,,,,,,,,,,
,,,,,3689,4.0,4,,,,,,,,,,
,,,,,3694,5.0,5,,,,,,,,,,
,,,,,3700,6.0,6,,,,,,,,,,
,,,,,3704,4.0,4,,,,,,,,,,
,,,,,3712,8.0,8,,,,,,,,,,
,,,,,3716,4.0,4,,,,,,,,,,
,,,,,3724,8.0,8,,,,,,,,,,
,,,,,3730,6.0,6,,,,,,,,,,
,,,,,3749,19.0,19,,,,,,,,,,
,,,,,3754,5.0,5,,,,,,,,,,
,,,,,3772,18.0,18,,,,,,,,,,
,,,,,3777,5.0,5,,,,,,,,,,
,,,,,3793,16.0,16,,,,,,,,,,
,,,,,3807,14.0,14,,,,,,,,,,
,,,,,3814,7.0,7,,,,,,,,,,
,,,,,3818,4.0,4,,,,,,,,,,
,,,,,3823,5.0,5,,,,,,,,,,
,,,,,3828,5.0,5,,,,,,,,,,
,,,,,3831,3.0,3,,,,,,,,,,
,,,,,3837,6.0,6,,,,,,,,,,
,,,,,3842,5.0,5,,,,,,,,,,
