Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,71000,,,-227.51956176757812,-6.095861911773682,0.5894399881362915,226.59695434570312,226.56539916992188,0.03493369743227959,0.09728427231311798,0.0003,0.0003,0.034934788942337036
,,,,,71999,3402.8384,1000,,,,,,,,,,
,,,,,72000,,,-231.62135314941406,-5.717345237731934,0.47704270482063293,230.68150329589844,230.7111053466797,0.03598317876458168,0.3621554970741272,0.0003,0.0003,0.035985067486763
,,,,,72999,3438.657,1000,,,,,,,,,,
,,,,,73000,,,-240.96807861328125,-6.260468482971191,0.7622201442718506,239.873291015625,239.9104766845703,0.03642214834690094,0.8197587728500366,0.0003,0.0003,0.03642170503735542
,,,,,73999,3462.4407,1000,,,,,,,,,,
,,,,,74000,,,-239.23719787597656,-6.034507751464844,0.6458079814910889,238.20291137695312,238.28782653808594,0.037108417600393295,0.33990225195884705,0.0003,0.0003,0.03711085021495819
,,,,,74999,3397.3176,1000,,,,,,,,,,
3258.5837,390.1033,3413.6106,2090.3748,1000.0,75000,,,-244.83908081054688,-6.134925365447998,0.6524617671966553,243.94635009765625,243.9523468017578,0.038222648203372955,0.2537987530231476,0.0003,0.0003,0.03822612017393112
,,,,,75999,3375.3364,1000,,,,,,,,,,
,,,,,76000,,,-238.68775939941406,-6.040101051330566,0.6878634095191956,237.52407836914062,237.5683135986328,0.039250802248716354,0.38234421610832214,0.0003,0.0003,0.03925151377916336
,,,,,76999,3452.03,1000,,,,,,,,,,
,,,,,77000,,,-250.4093017578125,-6.188007831573486,0.69444739818573,249.14263916015625,249.17184448242188,0.04029121622443199,1.0889403820037842,0.0003,0.0003,0.040292561054229736
,,,,,77999,3516.3438,1000,,,,,,,,,,
,,,,,78000,,,-247.5100860595703,-6.265533447265625,1.1096991300582886,246.48367309570312,246.57603454589844,0.04188941419124603,0.8804676532745361,0.0003,0.0003,0.041890084743499756
,,,,,78999,3510.8726,1000,,,,,,,,,,
,,,,,79000,,,-250.4992218017578,-6.131492614746094,1.0602160692214966,249.34226989746094,249.40679931640625,0.0430447943508625,-0.42227521538734436,0.0003,0.0003,0.043046578764915466
